Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,16,30,No,Stony Plain Ward,Neutral,No Comments,2,195,30
Bearspaw Chapel,Bonnie Doon Stake,4,0,14,45,No,Southgate Ward,Neutral,No Comments,2,13,45
Bearspaw Chapel,Gateway Stake,2,0,22,60,No,Blackmud Creek Ward,Negative,"One pass driving, one pass walking. Grey bags hard to notice",2,195,63
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,29,60,Yes,Stony Plain Ward,Neutral,No Comments,3,240,120
Bearspaw Chapel,Bonnie Doon Stake,1,4,30,30,No,Southgate Ward,Neutral,No Comments,2,130,30
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,140,30,No,Stony Plain Ward,Positive,It was very simple and do-able ,2,130,60
Morinville,Edmonton North Stake,2,8,32,105,Yes,Namao Ward,Neutral,No Comments,2,525,100
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,1,8,90,Yes,Stony Plain Ward,Neutral,No Comments,2,195,90
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,3,52,72,Yes,Pioneer Ward,Negative,Plus internet drive our route (unnecessary extra step.) Took 34 mins o double check and Pick up 2 missed bags.,3,254,71
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,9,10,No,Strathcona Married Student Ward,Negative,yellow bright bags ,2,40,36
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,24,20,Yes,Forest Heights Ward,Positive,just flyers will work instead of the bags,2,120,43
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,16,30,No,Forest Heights Ward,Neutral,No Comments,2,130,41
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,14,30,No,Forest Heights Ward,Neutral,No Comments,2,110,51
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,6,10,No,Forest Heights Ward,Neutral,No Comments,2,60,45
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,12,20,No,Strathcona Married Student Ward,Neutral,No Comments,2,66,41
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,7,25,No,Connors Hill Ward,Neutral,No Comments,2,100,35
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,28,90,No,Connors Hill Ward,Neutral,No Comments,2,65,65
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,36,45,Yes,Forest Heights Ward,Neutral,No Comments,2,150,63
